,TIME,COINS,TENDENCY,SKILL
0,0.6441253919999999,5,1,2
0,0.6017659900000001,11,1,3
0,0.7509229749999999,17,1,4
0,0.7378366109999996,23,1,5
0,0.7903929400000003,29,1,6
0,0.7994686360000003,35,1,7
0,0.9185833509999997,41,1,8
0,1.3912366729999999,47,1,9
0,1.0655868990000013,53,1,10
0,1.4394163859999995,59,1,11
0,0.8881111329999989,65,1,12
0,1.8701788179999994,71,1,13
0,1.514999185999999,77,1,14
0,1.0851848559999997,83,1,15
0,0.9538912629999992,89,2,2
0,1.0507848409999987,96,2,3
0,1.1869371020000017,103,2,4
0,1.3481096810000004,110,2,5
0,1.0704558239999997,117,2,6
0,1.6592330909999973,124,2,7
0,1.575207210000002,131,2,8
0,0.9483310550000006,138,2,9
0,1.3318988030000014,145,2,10
0,1.042874684000001,152,2,11
0,1.1770716629999995,159,2,12
0,1.082221982,166,2,13
0,1.0657473090000025,173,2,14
0,1.4417466430000019,180,2,15
0,1.3961572910000015,187,3,2
0,1.1764037639999998,195,3,3
0,1.3909367760000038,203,3,4
0,1.2596378500000043,211,3,5
0,1.3074807409999991,219,3,6
0,0.9140356570000066,227,3,7
0,1.513324928000003,235,3,8
0,1.1565420129999993,243,3,9
0,1.6362829270000034,251,3,10
0,1.3880247740000016,259,3,11
0,1.3297055710000052,267,3,12
0,1.5115370300000066,275,3,13
0,1.7824696539999962,283,3,14
0,1.8235310049999995,291,3,15
0,2.178262636999996,299,4,2
0,1.352673375000002,308,4,3
0,1.403264575999998,317,4,4
0,1.0856156250000026,326,4,5
0,0.8663851760000014,335,4,6
0,0.8679511259999941,344,4,7
0,1.3493790150000038,353,4,8
0,1.3255279279999996,362,4,9
0,0.9534842879999985,371,4,10
0,1.705979365999994,380,4,11
0,2.076843108999995,389,4,12
0,1.7145225490000087,398,4,13
0,1.4461384399999986,407,4,14
0,0.7660216479999917,416,4,15
0,1.9976012300000008,425,5,2
0,1.0797510069999987,435,5,3
0,0.8738325639999971,445,5,4
0,1.4725253219999956,455,5,5
0,1.2750007279999949,465,5,6
0,0.6706406859999987,475,5,7
0,0.9718551680000047,485,5,8
0,0.6609024249999891,495,5,9
0,1.1545945249999932,505,5,10
0,1.6387387229999888,515,5,11
0,1.433093920999994,525,5,12
0,1.2541810270000013,535,5,13
0,1.3883751329999967,545,5,14
0,1.5143394929999943,555,5,15
0,1.412357912999994,565,6,2
0,1.1813050999999888,576,6,3
0,1.2690963159999882,587,6,4
0,1.4008957539999898,598,6,5
0,1.7624097489999997,609,6,6
0,1.7459506649999952,620,6,7
0,1.0527302779999985,631,6,8
0,1.1222236400000014,642,6,9
0,1.3149995140000073,653,6,10
0,1.264903082999993,664,6,11
0,1.1707126860000017,675,6,12
0,1.9970424599999888,686,6,13
0,1.9174965819999983,697,6,14
0,1.3267308009999965,708,6,15
0,1.3299029049999973,719,7,2
0,1.0392935550000004,731,7,3
0,1.2410347659999985,743,7,4
0,1.1930720789999896,755,7,5
0,1.362055533000003,767,7,6
0,1.1246909230000028,779,7,7
0,1.5272793959999973,791,7,8
0,1.5222176500000018,803,7,9
0,1.8813012850000064,815,7,10
0,1.684379358000001,827,7,11
0,2.0839967519999902,839,7,12
0,1.761823903000007,851,7,13
0,1.2894704780000126,863,7,14
0,1.7236080920000063,875,7,15
0,1.6917762840000137,887,8,2
0,1.6770287900000085,900,8,3
0,1.4345302290000177,913,8,4
0,1.3985917530000052,926,8,5
0,1.3926274430000092,939,8,6
0,1.6469664189999946,952,8,7
0,1.580156546000012,965,8,8
0,1.2583730300000013,978,8,9
0,1.1854269480000141,991,8,10
0,1.8730715379999765,1004,8,11
0,1.5751087490000089,1017,8,12
0,1.8823088750000068,1030,8,13
0,1.636577901999999,1043,8,14
0,1.399248985000014,1056,8,15
0,1.7599982609999927,1069,9,2
0,1.5566041259999963,1083,9,3
0,1.3259562360000245,1097,9,4
0,1.3169683350000128,1111,9,5
0,1.4343948450000141,1125,9,6
0,1.706135673999995,1139,9,7
0,1.7048683919999803,1153,9,8
0,1.8556746069999974,1167,9,9
0,1.479620710000006,1181,9,10
0,2.4113355529999865,1195,9,11
0,2.3227344910000056,1209,9,12
0,2.9708701419999954,1223,9,13
0,1.6654677610000022,1237,9,14
0,1.953523262999994,1251,9,15
0,2.2420854320000103,1265,10,2
0,1.4775292209999975,1280,10,3
0,1.8833554400000025,1295,10,4
0,1.4359837689999893,1310,10,5
0,1.6449631360000012,1325,10,6
0,1.991862970999989,1340,10,7
0,1.4555993660000013,1355,10,8
0,1.2957248390000018,1370,10,9
0,1.4398553599999957,1385,10,10
0,1.7753594970000108,1400,10,11
0,1.250549436,1415,10,12
0,1.1847323830000107,1430,10,13
0,2.0834240339999894,1445,10,14
0,1.7768536519999998,1460,10,15
0,2.0705087470000194,1475,11,2
0,1.510719389000002,1491,11,3
0,1.2714877009999839,1507,11,4
0,1.6470029320000208,1523,11,5
0,1.0919766540000069,1539,11,6
0,0.829592544999997,1555,11,7
0,1.2144887030000007,1571,11,8
0,1.0825739830000032,1587,11,9
0,1.3086557159999757,1603,11,10
0,0.8856278510000095,1619,11,11
0,1.6884113589999856,1635,11,12
0,1.6557721669999808,1651,11,13
0,1.5775620830000037,1667,11,14
0,2.010865645999985,1683,11,15
0,1.731983069999984,1699,12,2
0,1.4187743260000047,1716,12,3
0,2.0070900540000025,1733,12,4
0,1.5799030070000128,1750,12,5
0,1.4706090130000007,1767,12,6
0,1.8244114150000144,1784,12,7
0,1.9610149590000105,1801,12,8
0,1.4665491140000029,1818,12,9
0,2.4435616179999897,1835,12,10
0,1.46136511200001,1852,12,11
0,1.9770736319999855,1869,12,12
0,1.9209406849999766,1886,12,13
0,1.4320046900000136,1903,12,14
0,1.1470745220000254,1920,12,15
0,1.946880799000013,1937,13,2
0,1.7477648190000252,1955,13,3
0,1.3227595170000086,1973,13,4
0,1.0406539650000184,1991,13,5
0,2.2615951839999866,2009,13,6
0,2.4616379329999916,2027,13,7
0,1.82467931299999,2045,13,8
0,1.633345491,2063,13,9
0,1.7219285010000362,2081,13,10
0,2.965506858000026,2099,13,11
0,2.1632431440000346,2117,13,12
0,2.3064263820000406,2135,13,13
0,2.5151341609999918,2153,13,14
0,1.223294449999969,2171,13,15
0,2.2107122919999824,2189,14,2
0,1.3315398280000181,2208,14,3
0,1.4604178300000399,2227,14,4
0,1.715137934999973,2246,14,5
0,1.7442801000000259,2265,14,6
0,1.4293893050000293,2284,14,7
0,2.212301215000025,2303,14,8
0,2.549470173999964,2322,14,9
0,2.0591819730000225,2341,14,10
0,2.251635386000032,2360,14,11
0,2.535823399000037,2379,14,12
0,2.0547708940000007,2398,14,13
0,1.6855174099999886,2417,14,14
0,1.6817094080000174,2436,14,15
0,2.2663824679999607,2455,15,2
0,1.5140338520000114,2475,15,3
0,1.2438852280000106,2495,15,4
0,1.3935656999999537,2515,15,5
0,1.5995735789999799,2535,15,6
0,1.3697187160000226,2555,15,7
0,1.8684339980000004,2575,15,8
0,1.554884329999993,2595,15,9
0,1.8085586910000302,2615,15,10
0,1.883466618,2635,15,11
0,2.0061817460000384,2655,15,12
0,2.094604756000024,2675,15,13
0,2.236623275999989,2695,15,14
